Compound Name,SMILES Representation
4-Methoxyphenol,['COC1=CC=C(C=C1)O']
Abiraterone,"['CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O', 'C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4C5=CN=CC=C5)C)O']"
Afatinib,"['CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4', 'CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4']"
Albendazole,['CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC']
Alectinib,['CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C']
Allopurinol,['C1=NNC2=C1C(=O)NC=N2']
Altretamine,['CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C']
Amifostine,['C(CN)CNCCSP(=O)(O)O']
Aminolevulinic Acid,['C(CC(=O)O)C(=O)CN']
Anastrozole,['CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N']
Aprepitant,"['CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F', 'C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F']"
Ascorbic acid,"['C(C(C1C(=C(C(=O)O1)O)O)O)O', 'C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O']"
Atorvastatin,"['CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4', 'CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4']"
Azacitidine,"['C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N', 'C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N']"
Bendamustine,['CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O']
Bexarotene,['CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C']
Binimetinib,['CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO']
