,Smiles
0,C1[C@H]([C@H](C)CCC(O)=O)[C@@]2(C)CC[C@@H]3[C@]4(C)[C@H](CC[C@H]3[C@@H]2C1)C[C@H](O)CC4
1,C1C(Nc2cc(-n3nc(C(F)(F)F)c4c3CC(C)(C)CC4=O)ccc2C(N)=O)CCC(O)C1
2,N12CCCCC1C1CC(C3NCCCC3=C1)C2
3,c1c(C(=C(CC)c2ccc(O)cc2)CC)ccc(O)c1
4,C1CN(CCOc2cc3c(cc2)c(-c2c4n(nc2-c2ncccc2)CCC4)ccn3)CCO1
5,O(CP(=O)(O)O)[C@@H](Cn1cnc2c(N)ncnc12)C
6,c1cc2c(C=C3c4ncccc4NC3=O)cn(C)c2cc1
7,O(c1c(I)cc(C[C@@H](C(O)=O)N)cc1I)c1cc(I)c(O)c(I)c1
8,S(c1ccc(NC(c2ccccn2)=O)cc1Cl)(Nc1c(Cl)cccc1)(=O)=O
9,CC1(C)[C@H](C(O)=O)N2C(=O)C[C@H]2S1(=O)=O
10,c1cc(OC)cc2c1[C@@H]1[C@@H](CC2)[C@H]2[C@](C)(CC1)[C@](O)(C#C)CC2
11,[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)(O)CO
12,[C@@H]1(C(=O)O)N2[C@H](SC1(C)C)[C@H](NC(=O)[C@H](N)c1ccc(O)cc1)C2=O
13,O1C2C(COS(=O)(N)=O)(OCC3C2OC(C)(C)O3)OC1(C)C
14,OCC(O)CN1CCN(c2ccccc2)CC1
15,n1cc(SCCN2CCCC2)sc1NC(=O)[C@]1(c2ccc(S(=O)(C3CC3)=O)cc2)C[C@H]1C1CCCCC1
16,C1(O)C(=C)C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(O)(C)C)CC(O)C1
17,c1(=O)[nH]c(C)c(-c2ccncc2)cc1C#N
18,O1[C@@H](O[C@H]2[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O[C@@H]5C[C@@]6(O[C@H](C/C=C/2C)C5)CC[C@H](C)[C@@H]([C@H](CC)C)O6)[C@@]43O)C[C@H](OC)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](OC)C2)[C@@H]1C
19,O=C(N1c2ccccc2CC(=O)c2ccccc21)N
20,c1(OC)cc2c3cc1Oc1c4c(cc(OC)c1OC)CCN(C)[C@H]4Cc1ccc(OC)c(c1)Oc1ccc(cc1)C[C@@H]3N(C)CC2
21,O=C1c2c(O)cc(OC3OC(CO)C(O)C(O)C3OC3C(O)C(O)C(O)C(C)O3)cc2OC(c2ccc(O)cc2)C1
22,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1.O=C(O)CC(O)(CC(=O)O)C(=O)O
23,c1cc(C)c(C)cc1-n1[nH]c(C)c(N=Nc2c(O)c(-c3cc(C(O)=O)ccc3)ccc2)c1=O
24,C[C@@H]1[C@@H]([C@H]([C@@H](O)[C@@H]([C@]2(O)O[C@H](C)[C@@H](CC)[C@H](O[C@@H]3O[C@@H](C)[C@@H](O)[C@@H](O)C3)C2)C)C)OC(=O)/C=C/C=C/[C@H](C)[C@@H]([C@@H](C)[C@@H](O)[C@@H]([C@]2(O)O[C@H](C)[C@@H](CC)[C@H](O[C@@H]3O[C@@H](C)[C@@H](O)[C@@H](O)C3)C2)C)OC(=O)/C=C/C=C/1
25,[C@H](CCC(O)=O)(C(O)=O)NC(=O)c1ccc(N(C)Cc2nc3c(nc2)nc(N)nc3N)cc1
26,C1(=C2CCNCC2)c2c(cccn2)CCc2c1ccc(Cl)c2
27,c1(OC[C@@H](N)Cc2ccccc2)cncc(-c2ccc3n[nH]c(C)c3c2)c1
28,O(C[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](Oc2cc3oc(-c4ccc(OC)c(O)c4)cc(=O)c3c(O)c2)O1)[C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1
29,c1(O)ccc(C=CC(=O)CC(C=Cc2cc(OC)c(O)cc2)=O)cc1OC
30,C(N(C)C(NC(CCN1CCOCC1)C(NC(Cc1ccccc1)CCC(Cc1ccccc1)NC(=O)OCc1cncs1)=O)=O)c1nc(C(C)C)sc1
31,C(=O)(C1(OC(CC)=O)C(C)CC2C3C(F)(C4(C)C(=CC(=O)C=C4)C(F)C3)C(O)CC21C)CCl
32,N(CCOC)(CCOC)C(=O)Cc1c(CC)c(O)cc(O)c1C(c1cc(OC)c(OCCN2CCOCC2)cc1)=O
33,c1c(/C=C/C(=O)Nc2c(N)cc(F)cc2)cnn1C/C=C/c1ccccc1
34,Oc1ccc(/C=C/C(O)=O)cc1O
35,S1C(Cc2ccc(OCCc3ccc(CC)cn3)cc2)C(=O)NC1=O
36,c1(OC)ccc(-n2c3cc(O)ccc3c([N+]([O-])=O)c2C)cc1
37,C1C2[C@H](Nc3c4c(ccc(Cl)c4)[nH]c(=O)c3-c3[nH]c4c(cccc4)n3)CN(C1)CC2
38,c1cc2c(cc1Cl)c(N[C@@H]1CN3CCC1CC3)c(-c1[nH]c3ccccc3n1)c(=O)[nH]2
39,c1cc(Cn2cncc2)ccc1C=CC(O)=O
40,c1(Cl)cccc2c1c(O)c(C(=O)N(CC)c1ccccc1)c(=O)n2C
41,OC1C(CO)OC(OC2C3C(CO)=CCC3C(C(=O)O)=CO2)C(O)C1O
42,c1(OCC)c(NC(/C=C/CN(C)C)=O)cc2c(ncc(C#N)c2Nc2ccc(F)c(Cl)c2)c1
43,c1cc(C(c2ccc(F)cc2)CCCN2CCC(c3ccc(Cl)c(C(F)(F)F)c3)(O)CC2)ccc1F
44,c1c(C(=O)Nc2ccc3c(c2)C(C)(C)CCC3(C)C)ccc(C(=O)O)c1
45,c12c(c3c4c(n5c3c3n(c6c(cccc6)c13)[C@H]1C[C@](O)(CO)[C@]5(C)O1)cccc4)CNC2=O
46,c12c(cc(Cl)cc1)/C(=C\CCN(C)C)c1ccccc1S2
47,O[C@@H]1[C@H](NC(N(N=O)C)=O)[C@@H](O)[C@H](O)[C@@H](CO)O1
48,c1(C=O)ccc(O)c(OC)c1
49,C12C(C(=O)CO)(OC(C)(C)O1)C1(C)C(C2)C2C(C(O)C1)C1(C)C(=CC(=O)C=C1)CC2
50,C1=CC=CC(CC)CCC2C(C)C(C(C)C3(CCC(C)C(CC(C)O)O3)O2)OC(=O)C=CC(C)C(O)C(C)C(=O)C(C)C(O)C(C)C(=O)C(C)(O)C(O)C(C)C1
51,c1c(CNC(=O)c2c(=O)c(O)c3n(c2)CC2OCCC(C)N2C3=O)c(F)cc(F)c1
52,OC1C(O)C(O)C(C)OC1OC1C(O)C(O)C(CO)OC1Oc1cc(O)c(C(CCc2ccc(O)cc2)=O)c(O)c1
53,CC(C)N=c1c(Nc2ccc(Cl)cc2)cc2nc3ccccc3n(-c3ccc(Cl)cc3)c-2c1
54,c1c(O)cc(O)c2c(=O)c(OC3OC(C)C(O)C(O)C3O)c(-c3cc(O)c(O)c(O)c3)oc12
55,c1(-n2c(=O)c3ccccc3nc2C(N2CCN(C(=O)COc3ccc(Cl)cc3)CC2)C)c(OCC)cccc1
56,C12(C)CC(=O)C3C4(C)C(=CC(=O)CC4)CCC3C1CCC2(C(COC(C)=O)=O)O
57,C1OC[C@@H](Oc2ccc(Cc3cc([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc3Cl)cc2)C1
58,C#C[C@@]1(O)[C@@]2(CC)CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]2C=C1
59,c1(C=NNC(N)=O)ccc([N+](=O)[O-])o1
60,C1CCCCC1C(N)C(=O)Nc1cc2c3c([nH]c(-c4cn(C)nc4)c3C=NNC2=O)c1
61,c1cc(Nc2ccnc(NCCCN3CCOCC3)n2)cc2c3ccccc3n(CC)c12
62,O1C2CC3C(C)(C2(C(CO)=O)OC1CCC)CC(O)C1C2(C)C(=CC(=O)C=C2)CCC31
63,OC(CO)C(O)CO
64,C(C(=O)O)NC(C(S)C)=O
65,O=C1[C@@H](NC(=O)/C(c2csc(N)n2)=N\O)[C@H]2SCC(C=C)=C(C(=O)O)N21
66,c12c([n+]([O-])cc(/C=N/NC(=O)OC)[n+]1[O-])cccc2
67,N(C(=O)N(CCCl)N=O)C1CCCCC1
68,c1c2oc(=O)ccc2ccc1
69,n1(C)c2ccccc2c(C=C2c3c(ccc(S(N)(=O)=O)c3)NC2=O)c1
70,c1(O)c(C(O)=O)ccc(NC(COS(c2ccc(C)cc2)(=O)=O)=O)c1
71,C([C@H]1O[C@@H](n2c(=O)nc(N)cc2)[C@H](O)[C@@H]1O)O
72,c1(N2CCCCC2)ccc(CCNC(=O)c2c(CC)c3c([nH]2)ccc(Cl)c3)cc1
73,c1c(Cl)c(Nc2ccc(C)cc2CC(=O)O)c(F)cc1
74,C1CC2(C)C(O)CCC2C2CCc3c(cc(OC)c(O)c3)C12
75,c1(NS(c2ccc(OC)cc2)(=O)=O)c(Nc2ccc(O)cc2)nccc1
76,C(CN1CCCC1=O)(NCCN(C(C)C)C(C)C)=O
77,c1(N[C@H](C)c2c3n(c(=O)cc(N4CCOCC4)n3)cc(C)c2)ccccc1C(=O)O
78,c1c2c(c(C3=C(c4cn(C5CCN(Cc6ccccn6)CC5)c5ccccc54)C(=O)NC3=O)cn2C)ccc1
79,C1(C(O)=O)C(O)CC2(O)CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C(O)C(C)C=CC=CC=CC=CC=CC=CC=CC(OC3OC(C)C(O)C(N)C3O)CC1O2
80,C1CN(C)[C@@H]2[C@@H]3[C@@]1(CC(=O)C(OC)=C3)c1c(O)c(OC)ccc1C2
81,[C@@H]12C[C@@H](C)[C@](O)(C(CO)=O)[C@@]1(C)C[C@H](O)[C@]1(F)[C@]3(C)C(=CC(=O)C=C3)CC[C@@H]21
82,c12ccccc1ncc(-c1ccc3c(c4n(-c5ccc(N6CCN(C(=O)CC)CC6)c(C(F)(F)F)c5)c(=O)ccc4cn3)c1)c2
83,[C@@H]12C[C@@H]1[C@@]1(C)C(=CC2=O)C(Cl)=C[C@H]2[C@H]3[C@](C)(CC[C@H]12)[C@](C(=O)C)(OC(=O)C)CC3
84,C1CCCCC1Nc1ccc(C(OCC)=O)cc1N
85,S(c1ccc([C@H]([C@H](NC(=O)C(Cl)Cl)CO)O)cc1)(C)(=O)=O
86,C1C(C(O)=O)CCC(CN)C1
87,OC1CC(O)C(C=CC(CCc2ccccc2)O)C1CC=CCCCC(=O)NCC
88,c1cc(S(=O)(=O)N)ccc1NC(=O)Nc1ccc(F)cc1
89,c1cccc(Nc2cccc(C)c2C)c1C(O)=O
90,C(N(c1ccccc1C=Cc1cc[n+]([O-])cc1)S(=O)(c1ccc(OC)cc1)=O)(C)=O
91,c1(COC(C)(C(=O)O)C)nn(Cc2ccccc2)c2ccccc12
92,c1(-c2c(-c3ccc(Cn4c5c(C(=O)O)cccc5nc4OCC)cc3)cccc2)nn[nH]n1
93,C1(OC2C3COC(=O)C3C(c3cc(OC)c(O)c(OC)c3)c3c2cc2c(c3)OCO2)OC2C(C(O)C1O)OC(C)OC2
94,CP(C)(=O)c1ccccc1Nc1c(Cl)cnc(Nc2c(OC)cc(N3CCC(N(C)C)CC3)cc2)n1
95,OC(=O)[C@H](NC)CC(O)=O
96,n1c(NC(CSc2nc3c(c(=O)n2-c2ccccc2)SCC3)=O)ccc(-c2ccccc2)c1
97,c1cc(CC2COC(=O)N2)cc2c(CCN(C)C)c[nH]c12
98,C1N(Cc2ccc(NC(=O)c3cc(C#Cc4cc5c(nc4)[nH]nc5)c(C)cc3)cc2C(F)(F)F)CCN(C)C1
99,CC1(C)O[C@H]2[C@H]([C@@H]3OC(C)(C)O[C@]3(COS(=O)(=O)N)OC2)O1
100,N#Cc1c(Cl)cccc1OCC(O)CNC(C)(C)Cc1ccc2c(cccc2)c1
101,n1cc(SCc2ncc(C(C)(C)C)o2)sc1NC(C1CCNCC1)=O
102,C[C@]12[C@@H](CC[C@]1(O)C(CO)=O)[C@H]1[C@H]([C@@H](O)C2)[C@@]2(C)C=CC(=O)C=C2[C@@H](C)C1
103,N(=C/c1oc([N+](=O)[O-])cc1)\NC(N)=O
104,FC(F)(C(=O)N[C@@H]1[C@H](O)[C@H](C)O[C@@H](O[C@@H]2c3c(c(O)c4c(c3O)C(=O)c3c(OC)cccc3C4=O)C[C@](C(=O)COC(CCCC)=O)(O)C2)C1)F
105,C(CCC(=O)OC1C(C)C2C34OOC(C)(CCC3C(C)CC2)OC4O1)(O)=O
106,CCCc1n(Cc2ccc(-c3c(-c4n[nH]nn4)cccc3)cc2)c(C(OCc2c(C)oc(=O)o2)=O)c(C(C)(C)O)n1
107,C(CCOc1cc(C)ccc1C)C(C)(C)C(O)=O
108,C1(O)CC(O)C(=C)C(=CC=C2CCCC3(C)C(C(C)C=CC(C(C)C)C)CCC32)C1
109,C(N[C@@H](Cc1ccccc1)[C@@H](O)C(N(C)C)=O)(=O)c1[nH]c2ccc(Cl)cc2c1
110,C(NC(c1cnccc1)=O)CO[N+](=O)[O-]
111,c1(N)c(-c2cc(=O)c3c(o2)cccc3)cccc1OC
112,N1(C(c2ccccc2)=O)CCN(C(=O)C(=O)c2c3c(OC)ccnc3[nH]c2)C(C)C1
113,c1(C(NCc2ncccn2)=O)c(NCc2ccc(OC)c(Cl)c2)nc(N2CCC[C@H]2CO)nc1
114,C12=CC(=O)C=C[C@]1(C)[C@@]1(F)[C@@H](O)C[C@]3(C)[C@]4(C(=O)CO)OC(C)(C)O[C@@H]4C[C@H]3[C@@H]1C[C@@H]2F
115,FC(c1cc(-c2nn(C=CC(N3CC(F)(F)C3)=O)cn2)cc(C(F)(F)F)c1)(F)F
116,O=C(c1cccc(F)c1)/C=C/c1cn(C)c(/C=C/C(=O)NO)c1
117,[nH]1c(=O)[nH]c(=O)c(F)c1
118,C1(=O)c2ccc(Nc3ccc(F)cc3F)cc2CCc2c1cc(OCC(O)CO)cc2
119,S(=O)(N1[C@@H](C)[C@H](NC(=O)/C(c2csc(N)n2)=N\OC(C)(C)C(O)=O)C1=O)(O)=O
120,C(CS(=O)c1ccccc1)C1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
121,OC1C[C@H]2[C@@H]3O[C@@H]3[C@H](N2C)C1
122,C(Cn1nc(-c2cc(N3CCC(Oc4cc(F)ccc4Br)CC3)no2)nn1)(O)=O
123,c1c2ncnc(Nc3cc(Cl)c(F)cc3)c2cc(OCCCN2CCOCC2)c1OC
124,N1N=C(c2ccc(NN=C(C#N)C#N)cc2)[C@H](C)CC1=O
125,c1c(C(C)(C)C)onc1NC(Nc1ccc(-c2cn3c(n2)sc2cc(OCCN4CCOCC4)ccc23)cc1)=O
126,C1(=O)N(C2CCC(=O)NC2=O)Cc2c(N)cccc21
127,c1c(NC(=O)Nc2ccccc2)ccc(-c2ccc(C(=O)[C@H]3[C@H](C(O)=O)CCC3)cc2)c1
128,O=S(=O)(c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1)C
129,C1N(C)CCN(c2nc(C=Cc3ccccc3)nc(Nc3n[nH]c(C)c3)c2)C1
130,C(C(Nc1cc(Oc2c(Cl)cnc(Nc3c(OC)cc(N4CCN(C)CC4)cc3)n2)ccc1)=O)C
131,c1(C(F)(F)F)c(C#N)ccc(NC([C@](C)(COc2ccc(C#N)cc2)O)=O)c1
132,C1(C)(C)[C@H](C(O)=O)N2C(=O)C[C@H]2S1(=O)=O
133,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@H]3OC(=O)C[C@H](O)C3)[C@H]21
134,C(C)OC(=O)C1=C(C)NC(C)=C(C(OC)=O)C1c1cccc([N+](=O)[O-])c1
